Namespace,Hpa Name,Hpa Use,Hpa Target,Min Replicas,Max Replicas,Actual Replicas,# Pods ->,Requests CPU (m),TOP CPU (m),Usage CPU (%),Requests Memory (Mi),TOP Memory (Mi),Usage Memory (%),Limits CPU (m),Limitis Memory (Mi)
default,adservice,Deployment/adservice,8,80,2,20,2,2,600,47,7.83,616,324,52.60,4600,856
default,cartservice,Deployment/cartservice,5,80,2,20,2,2,600,35,5.83,384,221,57.55,4600,512
default,checkoutservice,Deployment/checkoutservice,4,80,2,20,2,2,400,15,3.75,384,102,26.56,4400,512
default,currencyservice,Deployment/currencyservice,9,80,2,20,2,2,400,30,7.50,384,230,59.90,4400,512
default,emailservice,Deployment/emailservice,7,80,2,20,2,2,400,25,6.25,384,152,39.58,4400,512
default,frontend-hpa-5c956bbe7bb8b9771f6f81f55562a45a9ceddee2,ReplicaSet/frontend-v026,9,75,3,40,3,3,600,55,9.17,576,162,28.12,6600,768
default,loadgenerator,Deployment/loadgenerator,4,80,1,20,1,1,400,17,4.25,384,103,26.82,2500,640
default,nginx-1-hpa,Deployment/nginx-1,<unknown>,80,1,5,3,0,0,0,100.00,0,0,100.00,0,0
default,paymentservice,Deployment/paymentservice,4,80,2,20,2,2,400,18,4.50,384,148,38.54,4400,512
default,productcatalogservice,Deployment/productcatalogservice,7,80,2,20,2,2,400,33,8.25,384,101,26.30,4400,512
default,recommendationservice,Deployment/recommendationservice,8,80,2,20,2,2,400,28,7.00,696,241,34.63,4400,1156
default,redis-cart,Deployment/redis-cart,4,80,1,20,1,1,170,7,4.12,328,98,29.88,2125,384
default,shippingservice,Deployment/shippingservice,6,80,2,20,2,2,400,22,5.50,384,98,25.52,4400,512
istio-system,istio-egressgateway,Deployment/istio-egressgateway,6,80,1,5,1,1,100,6,6.00,128,32,25.00,2000,256
istio-system,istio-ingressgateway,Deployment/istio-ingressgateway,5,80,3,10,3,3,300,16,5.33,384,108,28.12,6000,768
istio-system,istio-pilot,Deployment/istio-pilot,1,80,1,5,1,1,600,11,1.83,2176,125,5.74,2000,128
istio-system,istio-policy,Deployment/istio-policy,8,80,1,5,1,1,110,12,10.91,128,55,42.97,2000,128
istio-system,istio-telemetry,Deployment/istio-telemetry,13,80,1,5,1,1,1100,176,16.00,1082,166,15.34,6800,3943
